"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
5,57.220458984375,57.220458984375
6.05645648479462,57.220458984375,57.220458984375
7.33613303044216,57.220458984375,57.220458984375
8.88619409310748,57.220458984375,57.220458984375
10.7637695680689,57.220458984375,57.220458984375
13.0380604002731,57.220458984375,57.220458984375
15.7928890920756,57.220458984375,57.220458984375
19.1297891110687,57.220458984375,57.220458984375
23.1717470628972,57.220458984375,57.220458984375
28.0677355526208,57.220458984375,57.220458984375
33.9982038002342,57.220458984375,57.220458984375
41.1817283754594,57.220458984375,57.220458984375
49.8830691749204,57.220458984375,57.220458984375
60.422927557181,57.220458984375,57.220458984375
73.1897662867929,76.2939453125,76.2939453125
88.6541269296498,95.367431640625,95.367431640625
107.385972389377,114.44091796875,114.44091796875
130.075693770723,133.514404296875,133.514404296875
157.559555810371,152.587890625,152.587890625
190.850518705816,190.73486328125,190.73486328125
231.175572328451,228.8818359375,228.8818359375
280.020958830951,286.102294921875,286.102294921875
339.186950398024,343.32275390625,343.32275390625
410.854201059165,419.61669921875,419.61669921875
497.664118061978,495.91064453125,495.91064453125
602.816215017212,610.3515625,610.3515625
730.186034916069,724.79248046875,724.79248046875
884.467989254779,877.38037109375,877.38037109375
1071.34837782307,1068.115234375,1068.115234375
1297.71496606815,1296.9970703125,1296.9970703125
1571.91084433169,1564.02587890625,1564.02587890625
1904.04192533433,1907.3486328125,1907.3486328125
2306.34941320239,2307.89184570312,2307.89184570312
2793.66097195837,2784.72900390625,2784.72900390625
3383.93722198699,3376.00708007813,3376.00708007813
4098.93370644819,4100.7998046875,4100.7998046875
4965.00272543228,4959.1064453125,4959.1064453125
6014.06459069346,6008.1484375,6008.1484375
7284.78409805581,7286.07177734375,7286.07177734375
8823.99557819977,8831.0244140625,8831.0244140625
10688.4290482774,10681.15234375,10681.15234375
12946.8010843414,12950.8974609375,12950.8974609375
15682.3474769211,15678.40625,15678.40625
18995.8910146802,18997.19140625,18997.19140625
23009.5574640624,57.220458984375,23002.625
27871.276703095,57.220458984375,27866.36328125
33760.2349055929,57.220458984375,33760.0703125
40893.4787244336,57.220458984375,40893.55078125
49533.9148812813,57.220458984375,49533.84375
60000.0000000002,57.220458984375,60005.1875

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)","Ch-2 (deg)"
5,0,-141.401580810547
6.05645648479462,0,1.30007934570313
7.33613303044216,0,0.737503051757813
8.88619409310748,0,1.09638977050781
10.7637695680689,0,0.99191951751709
13.0380604002731,0,0.912628173828125
15.7928890920756,0,1.22605895996094
19.1297891110687,0,1.47865104675293
23.1717470628972,0,1.83546829223633
28.0677355526208,0,2.18648529052734
33.9982038002342,0,2.59055709838867
41.1817283754594,0,3.11392974853516
49.8830691749204,0,3.72560501098633
60.422927557181,0,4.52863311767578
73.1897662867929,0,5.44469451904297
88.6541269296498,0,6.57717895507812
107.385972389377,0,7.94434356689453
130.075693770723,0,9.5931396484375
157.559555810371,0,11.5778274536133
190.850518705816,0,13.9602098464966
231.175572328451,0,16.8089599609375
280.020958830951,0,20.1984405517578
339.186950398024,0,24.205322265625
410.854201059165,0,28.9026679992676
497.664118061978,0,34.3562545776367
602.816215017212,0,40.6267013549805
730.186034916069,0,47.8120040893555
884.467989254779,0,55.9978904724121
1071.34837782307,0,65.6828689575195
1297.71496606815,0,77.8900909423828
1571.91084433169,0,95.9383392333984
1904.04192533433,0,128.273056030273
2306.34941320239,0,175.757720947266
2793.66097195837,0,-150.92414855957
3383.93722198699,0,-133.335433959961
4098.93370644819,0,-122.948455810547
4965.00272543228,0,-115.975646972656
6014.06459069346,0,-110.928817749023
7284.78409805581,0,-107.013397216797
8823.99557819977,0,-103.907592773437
10688.4290482774,0,-101.378356933594
12946.8010843414,0,-99.280891418457
15682.3474769211,0,-97.3947143554688
18995.8910146802,0,-95.7093505859375
23009.5574640624,0,16.2957897186279
27871.276703095,0,-143.047424316406
33760.2349055929,0,-138.275085449219
40893.4787244336,0,-0.698853850364685
49533.9148812813,0,-131.26741027832
60000.0000000002,0,110.921287536621

