"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
5,4.99915885925293
6.05645648479462,6.0629711151123
7.33613303044216,7.35448169708252
8.88619409310748,8.90176868438721
10.7637695680689,10.7808542251587
13.0380604002731,13.0559778213501
15.7928890920756,15.7890338897705
19.1297891110687,19.1500816345215
23.1717470628972,23.1903667449951
28.0677355526208,28.0842418670654
33.9982038002342,33.9971199035645
41.1817283754594,41.1656646728516
49.8830691749204,49.8669128417969
60.422927557181,60.4351234436035
73.1897662867929,73.1788101196289
88.6541269296498,88.6403121948242
107.385972389377,107.393089294434
130.075693770723,130.097518920898
157.559555810371,157.569915771484
190.850518705816,190.852432250977
231.175572328451,231.169967651367
280.020958830951,280.007659912109
339.186950398024,339.182312011719
410.854201059165,410.859344482422
497.664118061978,497.655578613281
602.816215017212,602.818237304687
730.186034916069,730.185119628906
884.467989254779,884.468505859375
1071.34837782307,1071.35192871094
1297.71496606815,1297.71545410156
1571.91084433169,1571.91088867187
1904.04192533433,1904.03869628906
2306.34941320239,2306.34838867187
2793.66097195837,2793.65942382812
3383.93722198699,3383.93383789062
4098.93370644819,4098.94482421875
4965.00272543228,4965.0146484375
6014.06459069346,6014.10107421875
7284.78409805581,7284.806640625
8823.99557819977,8824.080078125
10688.4290482774,10688.4599609375
12946.8010843414,12946.9072265625
15682.3474769211,15682.5478515625
18995.8910146802,18996.10546875
23009.5574640624,20353.103515625
27871.276703095,0
33760.2349055929,0
40893.4787244336,0
49533.9148812813,0
60000.0000000002,0

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
5,54.123039845629
6.05645648479462,54.3157758352338
7.33613303044216,54.275233547506
8.88619409310748,54.3726936969016
10.7637695680689,54.3859287392218
13.0380604002731,54.4207359145664
15.7928890920756,54.4676292549477
19.1297891110687,54.4540466053268
23.1717470628972,54.4703477013603
28.0677355526208,54.4730761928957
33.9982038002342,54.4832104960219
41.1817283754594,54.4883928587436
49.8830691749204,54.4840277148541
60.422927557181,54.4734149890952
73.1897662867929,54.470431779512
88.6541269296498,54.4599182961711
107.385972389377,54.4412280034112
130.075693770723,54.4194815148046
157.559555810371,54.3883742402691
190.850518705816,54.3462492996842
231.175572328451,54.2873335867153
280.020958830951,54.2034300783258
339.186950398024,54.0890216067969
410.854201059165,53.9379340174957
497.664118061978,53.7444560077292
602.816215017212,53.5100106977575
730.186034916069,53.2495006489948
884.467989254779,53.0041360192507
1071.34837782307,52.8554400494447
1297.71496606815,52.9468678322453
1571.91084433169,53.4459121812843
1904.04192533433,53.9072742835149
2306.34941320239,51.1621184015787
2793.66097195837,44.9563816787133
3383.93722198699,38.5459461689784
4098.93370644819,32.5803670501955
4965.00272543228,26.9483219689938
6014.06459069346,21.5506717145701
7284.78409805581,16.3041183739601
8823.99557819977,11.1560094240519
10688.4290482774,6.07545517875555
12946.8010843414,1.04516166564477
15682.3474769211,-3.94140402139235
18995.8910146802,-8.87187068304296
23009.5574640624,-13.706606473001
27871.276703095,-18.3630234666672
33760.2349055929,-22.5831328971051
40893.4787244336,-26.233765952998
49533.9148812813,-28.8431025920244
60000.0000000002,-30.2130766171168

